-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  19.672   longitude 78.5359 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 334.55 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
SLP             MERRA-2 Sea Level Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,RH2M,WS10M_MAX,WS10M_MIN,T2M,TS,T2M_MAX,T2M_MIN,SLP
2023,10,28,0.0,73.45,3.87,1.65,19.85,19.21,26.62,14.48,101.4
2023,10,29,0.0,79.37,3.22,1.86,19.76,19.51,27.24,13.37,101.34
2023,10,30,0.0,80.37,3.05,1.45,20.11,20.21,27.5,13.55,101.33
2023,10,31,0.0,81.56,3.91,2.19,20.26,20.43,26.95,14.46,101.42
2023,11,1,0.0,82.23,3.45,2.12,20.82,20.95,26.98,15.58,101.45
2023,11,2,0.0,83.95,2.83,1.0,22.01,22.2,28.37,15.9,101.31
2023,11,3,0.0,82.1,2.29,1.22,23.45,23.28,29.15,19.11,101.14
2023,11,4,0.0,80.74,3.73,1.88,22.85,22.47,28.26,18.08,101.16
2023,11,5,0.0,81.84,4.07,1.86,22.54,22.36,28.07,17.23,101.31
2023,11,6,0.0,86.83,4.93,2.72,22.5,22.66,26.6,19.79,101.44
2023,11,7,0.0,76.21,3.97,1.81,22.61,22.71,28.54,18.67,101.41
2023,11,8,2.78,78.15,3.35,1.84,22.07,22.28,28.83,16.73,101.36
2023,11,9,0.09,73.35,3.05,1.6,22.0,22.03,28.51,17.62,101.4
2023,11,10,0.0,72.86,3.4,1.86,21.84,21.81,28.56,16.67,101.52
2023,11,11,0.0,73.3,3.44,0.71,22.1,21.95,29.05,17.21,101.58
2023,11,12,0.0,75.23,3.19,1.56,22.49,22.3,29.49,17.57,101.6
2023,11,13,0.0,76.07,2.99,1.67,21.9,22.06,29.15,16.32,101.58
2023,11,14,0.0,75.78,2.99,2.0,20.9,20.99,27.48,15.87,101.52
2023,11,15,0.0,77.2,4.16,2.1,20.03,20.19,27.45,14.04,101.44
2023,11,16,0.0,77.31,5.32,2.38,19.6,19.71,27.45,13.64,101.45
2023,11,17,0.0,75.0,3.87,2.06,19.65,19.87,27.91,12.85,101.46
2023,11,18,0.0,76.28,3.13,1.23,21.67,22.0,30.14,14.75,101.42
2023,11,19,0.0,75.85,3.88,1.52,22.57,23.02,30.38,16.51,101.43
2023,11,20,0.0,76.15,3.58,2.11,21.97,22.53,29.82,16.27,101.49
2023,11,21,0.0,77.72,2.95,1.33,22.28,23.03,29.58,16.58,101.41
2023,11,22,0.0,76.53,3.19,1.35,22.49,23.27,29.77,16.91,101.32
2023,11,23,0.04,74.91,2.82,0.68,22.82,23.6,29.66,17.09,101.21
2023,11,24,0.07,82.44,4.44,1.62,21.61,21.97,25.28,19.34,101.32
2023,11,25,0.08,78.17,4.09,2.0,21.45,21.87,26.09,18.07,101.49
2023,11,26,0.8,78.99,2.84,1.71,21.53,21.77,26.62,17.97,101.5
2023,11,27,14.37,82.88,4.62,1.68,22.29,22.47,28.16,18.04,101.32
2023,11,28,9.94,80.83,4.92,0.87,23.24,23.26,29.4,18.8,101.17
2023,11,29,3.76,80.95,3.84,1.98,22.52,22.66,28.51,17.93,101.28
2023,11,30,0.03,74.8,3.78,1.56,23.2,23.2,29.43,18.3,101.31
2023,12,1,0.37,75.82,3.19,1.24,22.35,22.64,28.69,17.29,101.31
2023,12,2,0.0,74.76,4.48,2.35,23.08,23.38,31.01,17.09,101.26
2023,12,3,0.03,74.32,4.2,2.3,22.77,23.06,30.51,17.56,101.3
2023,12,4,0.01,75.73,4.72,2.05,22.54,22.91,28.74,17.58,101.2
2023,12,5,0.17,81.73,6.05,3.19,21.54,21.92,25.71,18.56,101.07
2023,12,6,2.57,87.91,7.4,3.42,20.97,21.29,26.15,17.94,100.95
2023,12,7,0.44,82.63,5.3,2.12,22.3,22.88,28.41,18.65,101.13
2023,12,8,0.0,76.92,3.58,2.11,21.37,22.0,28.09,16.32,101.36
2023,12,9,0.0,73.45,3.6,1.84,20.85,21.08,27.98,15.45,101.52
2023,12,10,0.0,69.31,3.07,1.77,20.13,20.31,27.81,14.31,101.42
2023,12,11,0.0,69.82,3.12,0.91,19.71,20.27,28.51,13.15,101.43
2023,12,12,0.0,71.87,2.84,1.01,20.08,20.76,28.35,13.19,101.32
2023,12,13,0.0,71.29,3.17,1.61,20.61,21.26,28.06,14.26,101.43
2023,12,14,0.0,71.7,3.27,1.64,20.06,20.65,27.93,14.23,101.57
2023,12,15,0.0,69.93,3.4,2.08,18.91,19.6,27.05,12.96,101.64
2023,12,16,0.0,64.75,3.77,2.29,17.76,18.21,26.16,11.64,101.57
2023,12,17,0.0,63.45,3.84,2.19,18.23,18.65,26.51,11.91,101.54
2023,12,18,0.0,66.46,5.31,2.21,17.93,18.3,25.56,12.16,101.68
2023,12,19,0.0,61.96,5.93,2.43,17.11,17.48,25.38,11.26,101.71
2023,12,20,0.0,60.18,5.28,2.15,16.57,16.74,24.51,10.28,101.65
2023,12,21,0.0,58.28,4.51,2.11,17.14,17.3,26.79,10.06,101.53
2023,12,22,0.0,59.37,3.68,1.89,18.14,18.18,28.03,11.46,101.46
2023,12,23,0.0,61.95,3.01,1.25,18.38,18.4,27.14,13.49,101.58
2023,12,24,0.0,64.24,3.25,1.43,18.35,18.7,28.78,11.01,101.72
2023,12,25,0.0,66.24,3.29,1.84,18.71,18.79,28.76,11.4,101.65
2023,12,26,0.0,66.01,3.45,1.43,19.45,19.63,29.44,12.05,101.67
2023,12,27,0.0,68.08,3.14,1.41,19.47,19.84,28.71,12.57,101.68
2023,12,28,0.0,66.45,3.1,0.97,19.49,19.78,28.19,13.44,101.55
2023,12,29,0.0,68.37,2.92,1.25,20.54,20.81,29.12,14.68,101.59
2023,12,30,0.0,67.52,3.16,0.68,20.72,21.02,29.44,15.16,101.52
2023,12,31,0.0,65.66,3.32,1.87,20.35,20.83,29.73,13.44,101.5
